Politician,Handle,Party
Abby Finkenauer,RepFinkenauer,Democratic Party
Abigail Spanberger,RepSpanberger,Democratic Party
Adam Kinzinger,RepKinzinger,Republican Party
Adam Schiff,RepAdamSchiff,Democratic Party
Adrian Smith,RepAdrianSmith,Republican Party
Adriano Espaillat,RepEspaillat,Democratic Party
Al Green,RepAlGreen,Democratic Party
Alan Lowenthal,RepLowenthal,Democratic Party
Albio Sires,RepSires,Democratic Party
Alexandria Ocasio-Cortez,RepAOC,Democratic Party
Amy Klobuchar,SenAmyKlobuchar,Democratic Party
André Carson,RepAndreCarson,Democratic Party
Andy Barr,RepAndyBarr,Republican Party
Andy Levin,RepAndyLevin,Democratic Party
Angie Craig,RepAngieCraig,Democratic Party
Angus King,SenAngusKing,Independent
Ann Kirkpatrick,RepKirkpatrick,Democratic Party
Ann Wagner,RepAnnWagner,Republican Party
Anthony Brindisi,RepBrindisi,Democratic Party
Anthony Gonzalez,RepAGonzalez,Republican Party
Antonio Delgado,repdelgado,Democratic Party
Austin Scott,AustinScottGA08,Republican Party
Ayanna Pressley,RepPressley,Democratic Party
Barbara Lee,RepBarbaraLee,Democratic Party
Barry Loudermilk,RepLoudermilk,Republican Party
Ben Cardin,SenatorCardin,Democratic Party
Ben McAdams,RepBenMcAdams,Democratic Party
Ben Sasse,SenSasse,Republican Party
Bernie Sanders,SenSanders,Independent
Betty McCollum,BettyMcCollum04,Democratic Party
Bill Foster,RepBillFoster,Democratic Party
Bill Huizenga,RepHuizenga,Republican Party
Bill Johnson,RepBillJohnson,Republican Party
Bill Keating,USRepKeating,Democratic Party
Bill Posey,congbillposey,Republican Party
Blaine Luetkemeyer,RepBlaine,Republican Party
Bob Gibbs,RepBobGibbs,Republican Party
Bob Menendez,SenatorMenendez,Democratic Party
Bonnie Watson Coleman,RepBonnie,Democratic Party
Brad Schneider,RepSchneider,Democratic Party
Brad Sherman,BradSherman,Democratic Party
Brad Wenstrup,RepBradWenstrup,Republican Party
Bradley Byrne,RepByrne,Republican Party
Brenda Lawrence,RepLawrence,Democratic Party
Brendan Boyle,CongBoyle,Democratic Party
Brett Guthrie,RepGuthrie,Republican Party
Brian Babin,RepBrianBabin,Republican Party
Brian Fitzpatrick,RepBrianFitz,Republican Party
Brian Higgins,RepBrianHiggins,Democratic Party
Brian Mast,RepBrianMast,Republican Party
Bruce Westerman,RepWesterman,Republican Party
Bryan Steil,RepBryanSteil,Republican Party
Carol Miller,RepCarolMiller,Republican Party
Charlie Crist,RepCharlieCrist,Democratic Party
Chellie Pingree,chelliepingree,Democratic Party
Cheri Bustos,RepCheri,Democratic Party
Chip Roy,RepChipRoy,Republican Party
Chris Coons,ChrisCoons,Democratic Party
Chris Pappas,RepChrisPappas,Democratic Party
Chris Smith,RepChrisSmith,Republican Party
Chris Stewart,RepChrisStewart,Republican Party
Chris Van Hollen,ChrisVanHollen,Democratic Party
Chrissy Houlahan,RepHoulahan,Democratic Party
Chuck Schumer,SenSchumer,Democratic Party
Cindy Axne,RepCindyAxne,Democratic Party
