0,1
Lindsey Graham,GrahamBlog
Rep. Aumua Amata🇦🇸,RepAmata
Senator Bob Casey,SenBobCasey
Senator Mike Braun,SenatorBraun
RepScottPerry,RepScottPerry
Senator Chris Coons,ChrisCoons
Congressman Jim Baird,RepJimBaird
US Rep. Darren Soto,RepDarrenSoto
Senator John Thune,SenJohnThune
Glenn 'GT' Thompson,CongressmanGT
Rep. Kevin Brady,RepKevinBrady
Tom Graves,RepTomGraves
Senator Deb Fischer,SenatorFischer
Rep. Harley Rouda,RepHarley
Rob Woodall,RepRobWoodall
House Foreign Affairs GOP,HouseForeignGOP
Ro Khanna,RoKhanna
Cong. Steven Palazzo,CongPalazzo
Rep. John Moolenaar,RepMoolenaar
Rep. Chris Collins,RepChrisCollins
Rep. Joe Courtney,RepJoeCourtney
Dutch Ruppersberger,Call_Me_Dutch
US Rep. Mike Turner,RepMikeTurner
Dr. Phil Roe,DrPhilRoe
Carol Miller,RepCarolMiller
(((Rep. Nadler))),RepJerryNadler
John Shimkus,RepShimkus
Lindsey Graham,LindseyGrahamSC
Rep. Scott Peters,RepScottPeters
Senator Angus King,SenAngusKing
Rep. Dan Kildee,RepDanKildee
Pete Aguilar,aguilarpete
Sen. Kirsten Gillibrand,gillibrandny
Rep. Lucy McBath,RepLucyMcBath
Yvette D. Clarke,RepYvetteClarke
House Budget Committee,HouseBudgetDems
Congresswoman Madeleine Dean,RepDean
Rep. Brett Guthrie,RepGuthrie
US Rep. Al Lawson Jr,RepAlLawsonJr
Rep. Diana DeGette,RepDianaDeGette
Rep. Doug Lamborn,RepDLamborn
Sen. Lisa Murkowski,lisamurkowski
Rep. Salud Carbajal,RepCarbajal
Rep. Lucille Roybal-Allard,RepRoybalAllard
Brian Schatz,brianschatz
Congressman Bill Keating,USRepKeating
Senator Bob Corker,SenBobCorker
Senator Jon Tester,SenatorTester
Jim Langevin,JimLangevin
Senator Pat Roberts,SenPatRoberts
Rep. Gwen Moore,RepGwenMoore
John Rose,RepJohnRose
Rep. Walter Jones,RepWalterJones
Hal Rogers,RepHalRogers
Mac Thornberry Press,MacTXPress
Richard Shelby,SenShelby
"Ami Bera, M.D.",RepBera
Bennie G. Thompson,BennieGThompson
Rep. John Curtis,RepJohnCurtis
Ruben Gallego,RepRubenGallego
Denny Heck,RepDennyHeck
Senator Bob Menendez,SenatorMenendez
Sen. Tammy Baldwin,SenatorBaldwin
Senator Mike Crapo,MikeCrapo
Rep. Ro Khanna,RepRoKhanna
Cory Gardner,SenCoryGardner
"Rep. Paul Gosar, DDS",RepGosar
Rep. Liz Cheney,RepLizCheney
Chrissy Houlahan,RepHoulahan
Rep. Rick Larsen,RepRickLarsen
Robin Kelly,RobinLynneKelly
Fred Upton,RepFredUpton
Congressman Al Green,RepAlGreen
Rep. Eric Swalwell,RepSwalwell
Mike Quigley,RepMikeQuigley
Michael Bennet,SenatorBennet
John Lewis,repjohnlewis
Sheldon Whitehouse,SenWhitehouse
Rep. Sean Casten,RepCasten
Rep. John Yarmuth,RepJohnYarmuth
T&I Committee Republicans,TransportGOP
Dina Titus,dinatitus
Albio Sires,RepSires
Sen. Lamar Alexander,SenAlexander
Rep. Mike Levin,RepMikeLevin
Sen. Cory Booker,SenBooker
Drew Ferguson,RepDrewFerguson
Rep. Katie Hill,RepKatieHill
Donald Norcross,DonaldNorcross
Senator Mazie Hirono,maziehirono
Rep. Brian Mast,RepBrianMast
Sen Dianne Feinstein,SenFeinstein
Rep. Brendan Boyle,CongBoyle
Rep. Daniel Lipinski,RepLipinski
Richard Blumenthal,SenBlumenthal
Jared Polis,jaredpolis
US Rep Rodney Davis,RodneyDavis
Rep. Susan Davis,RepSusanDavis
Rep. Tom Cole,TomColeOK04
Mario Diaz-Balart,MarioDB
Adam Kinzinger,RepKinzinger
Rep. Jason Smith,RepJasonSmith
"Michael Burgess, MD",michaelcburgess
Rep. Max Rose,RepMaxRose
Rep. Pete Olson,RepPeteOlson
US Rep E.B.Johnson,RepEBJ
Jenniffer González,RepJenniffer
Bill Foster,RepBillFoster
Rep. Michael Waltz,RepMichaelWaltz
Tom Cotton,SenTomCotton
Congresswoman Lori Trahan,RepLoriTrahan
Rep. Frank Pallone,FrankPallone
Thomas Massie,RepThomasMassie
Rep. Danny K. Davis,RepDannyDavis
Rep.Grace Napolitano,gracenapolitano
Rob Portman,senrobportman
Matt Cartwright,RepCartwright
Tammy Duckworth,SenDuckworth
Rep. Steve Watkins,Rep_Watkins
Congresswoman Mary Gay Scanlon,RepMGS
Rep. Tony Cárdenas,RepCardenas
Senator Ron Johnson,SenRonJohnson
Senator Roger Wicker,SenatorWicker
Dave Joyce,RepDaveJoyce
Judy Chu,RepJudyChu
